,Log_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,year,Ladder_score,Country_name,RI_Central and Eastern Europe,RI_Commonwealth of Independent States,RI_East Asia,RI_Latin America and Caribbean,RI_Middle East and North Africa,RI_North America and ANZ,RI_South Asia,RI_Southeast Asia,RI_Sub-Saharan Africa,RI_Western Europe
154,10.347,0.896,65.32,0.712,-0.246,0.743,2007,5.332,45,1,0,0,0,0,0,0,0,0,0
155,9.33,0.894,65.34,0.786,-0.04,0.86,2007,6.138,30,0,0,0,1,0,0,0,0,0,0
156,8.887,0.717,63.24,0.639,-0.015,0.785,2007,5.296,44,0,0,0,1,0,0,0,0,0,0
157,9.135,0.686,59.82,0.609,-0.121,0.762412429378531,2007,5.541,43,0,0,0,0,1,0,0,0,0,0
158,9.191,0.839,66.26,0.67,-0.063,0.83,2007,4.996,42,0,0,0,1,0,0,0,0,0,0
159,9.372,0.848,62.96,0.886,-0.008,0.772,2007,5.081,41,0,0,0,1,0,0,0,0,0,0
160,10.891,0.954,69.92,0.932,0.24,0.206,2007,7.834,39,0,0,0,0,0,0,0,0,0,1
161,10.437,0.9,67.44,0.799,-0.063,0.928,2007,6.5,38,1,0,0,0,0,0,0,0,0,0
162,7.666,0.828,42.86,0.456,-0.082,0.946,2007,3.28,165,0,0,0,0,0,0,0,0,1,0
163,9.825,0.879,66.32,0.67,-0.095,0.747,2007,6.525,95,0,0,0,1,0,0,0,0,0,0
164,10.162,0.91,67.12,0.662,-0.092,0.934,2007,5.821,35,1,0,0,0,0,0,0,0,0,0
165,9.515,0.886,63.78,0.777,-0.016,0.728,2007,6.321,19,0,0,0,1,0,0,0,0,0,0
166,9.903,0.792,63.32,0.459,-0.178,0.8,2007,5.623,152,0,0,0,0,1,0,0,0,0,0
167,7.359,0.479,43.66,0.295,-0.011,0.874,2007,4.141,27,0,0,0,0,0,0,0,0,1,0
168,11.212,0.921,73.9,0.867,0.293,0.064,2007,6.834,129,0,0,0,0,0,0,0,1,0,0
169,8.204,0.569,56.14,0.729,-0.051,0.862,2007,5.027,63,0,0,0,0,0,0,1,0,0,0
170,9.426,0.788,48.64,0.69,-0.158,0.859,2007,5.204,134,0,0,0,0,0,0,0,0,1,0
171,10.558,0.938,73.44,0.796,-0.09,0.809,2007,6.238,72,0,0,1,0,0,0,0,0,0,0
172,6.881,0.726,47.12,0.584,-0.056,0.748,2007,4.277,107,0,0,0,0,0,0,0,0,1,0
173,10.428,0.868,71.44,0.683,0.219,0.868,2007,6.841,68,0,0,0,0,1,0,0,0,0,0
